Feature Set;Oversampling Method;Classifier;Best Params;ROC-AUC;Test Balanced Accuracy;Test Precision;Test Recall;Test F1-Score;Test ROC-AUC
LASSO;RandomOverSampler;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 100, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.001, 'classifier__activation': 'relu'};0.625;0.5;0.667;1;0.8;0.457
LASSO;RandomOverSampler;XGBoost;{'classifier__colsample_bytree': 0.9964767468550163, 'classifier__learning_rate': 0.03528055248515828, 'classifier__max_depth': 8, 'classifier__n_estimators': 157, 'classifier__subsample': 0.7362109885023462};0.593;0.5;0.667;1;0.8;0.451
LASSO;RandomOverSampler;SVM;{'classifier__C': 5.0339523436528975, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'};0.691;0.5;0.667;1;0.8;0.42
LASSO;RandomOverSampler;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'distance'};0.595;0.5;0.667;1;0.8;0.429
LASSO;RandomOverSampler;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.649;0.5;0.667;1;0.8;0.586
LASSO;RandomOverSampler;RandomForest;{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 98};0.614;0.5;0.667;1;0.8;0.395
LASSO;ADASYN;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 300, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'relu'};0.651;0.5;0.667;1;0.8;0.463
LASSO;ADASYN;XGBoost;{'classifier__colsample_bytree': 0.8345434455959384, 'classifier__learning_rate': 0.09624213414317345, 'classifier__max_depth': 5, 'classifier__n_estimators': 145, 'classifier__subsample': 0.6872778616373103};0.578;0.5;0.667;1;0.8;0.5
LASSO;ADASYN;KNN;{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__weights': 'distance'};0.565;0.5;0.667;1;0.8;0.429
LASSO;ADASYN;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.626;0.5;0.667;1;0.8;0.63
LASSO;SMOTETomek;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 100, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'logistic'};0.616;0.5;0.667;1;0.8;0.395
LASSO;SMOTETomek;XGBoost;{'classifier__colsample_bytree': 0.8067428516554398, 'classifier__learning_rate': 0.0761689877463238, 'classifier__max_depth': 3, 'classifier__n_estimators': 57, 'classifier__subsample': 0.7415297341082886};0.606;0.5;0.667;1;0.8;0.438
LASSO;SMOTETomek;SVM;{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.671;0.5;0.667;1;0.8;0.574
LASSO;SMOTETomek;LogisticRegression;{'classifier__C': 1.6022478762464465, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.648;0.5;0.667;1;0.8;0.58
ANOVA;ADASYN;SVM;{'classifier__C': 2.5899563807819357, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.684;0.5;0.667;1;0.8;0.549
LASSO;SMOTETomek;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 101};0.615;0.5;0.667;1;0.8;0.395
LASSO;SMOTE;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 100, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'relu'};0.626;0.5;0.667;1;0.8;0.407
LASSO;SMOTE;XGBoost;{'classifier__colsample_bytree': 0.8344811964306701, 'classifier__learning_rate': 0.03224407396351247, 'classifier__max_depth': 7, 'classifier__n_estimators': 133, 'classifier__subsample': 0.6894150195855671};0.592;0.5;0.667;1;0.8;0.451
LASSO;SMOTE;SVM;{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.671;0.5;0.667;1;0.8;0.568
LASSO;SMOTE;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 12, 'classifier__weights': 'uniform'};0.577;0.5;0.667;1;0.8;0.377
LASSO;SMOTE;LogisticRegression;{'classifier__C': 0.6291018519581948, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'};0.615;0.5;0.667;1;0.8;0.58
LASSO;SMOTE;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 155};0.607;0.5;0.667;1;0.8;0.401
ANOVA;RandomOverSampler;XGBoost;{'classifier__colsample_bytree': 0.6820075809577155, 'classifier__learning_rate': 0.03121257489525315, 'classifier__max_depth': 6, 'classifier__n_estimators': 124, 'classifier__subsample': 0.8717602094100566};0.609;0.5;0.667;1;0.8;0.432
ANOVA;RandomOverSampler;SVM;{'classifier__C': 5.0339523436528975, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'};0.698;0.5;0.667;1;0.8;0.401
ANOVA;RandomOverSampler;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 13, 'classifier__weights': 'uniform'};0.631;0.5;0.667;1;0.8;0.33
ANOVA;RandomOverSampler;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.649;0.5;0.667;1;0.8;0.58
ANOVA;RandomOverSampler;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 101};0.608;0.5;0.667;1;0.8;0.401
ANOVA;ADASYN;MLPC;{'classifier__solver': 'adam', 'classifier__max_iter': 300, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'logistic'};0.618;0.5;0.667;1;0.8;0.549
ANOVA;ADASYN;XGBoost;{'classifier__colsample_bytree': 0.6630020416550897, 'classifier__learning_rate': 0.0180212584437402, 'classifier__max_depth': 3, 'classifier__n_estimators': 79, 'classifier__subsample': 0.6573885942617765};0.595;0.5;0.667;1;0.8;0.432
mRMR_RF;RandomOverSampler;MLPC;{'classifier__solver': 'adam', 'classifier__max_iter': 300, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (30, 20), 'classifier__early_stopping': True, 'classifier__alpha': 0.001, 'classifier__activation': 'logistic'};0.654;0.5;0.667;1;0.8;0.648
