Feature Set;Oversampling Method;Classifier;Best Params;ROC-AUC;Test Balanced Accuracy;Test Precision;Test Recall;Test F1-Score;Test ROC-AUC
RF;SMOTE;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 200, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'logistic'};0.665;0.5;0.667;1;0.8;0.414
RF;SMOTETomek;RandomForest;{'classifier__bootstrap': True, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 110};0.66;0.5;0.667;1;0.8;0.525
RF;SMOTETomek;LogisticRegression;{'classifier__C': 4.219064021972034, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.66;0.5;0.667;1;0.8;0.395
RF;SMOTETomek;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'distance'};0.644;0.5;0.667;1;0.8;0.361
RF;SMOTETomek;SVM;{'classifier__C': 7.282401436844547, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'};0.694;0.5;0.667;1;0.8;0.327
RF;SMOTETomek;XGBoost;{'classifier__colsample_bytree': 0.6901416652770782, 'classifier__learning_rate': 0.14403485937853913, 'classifier__max_depth': 4, 'classifier__n_estimators': 77, 'classifier__subsample': 0.6382168615441461};0.67;0.5;0.667;1;0.8;0.58
RF;ADASYN;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 89};0.663;0.5;0.667;1;0.8;0.451
RF;RandomOverSampler;LogisticRegression;{'classifier__C': 9.619097422366776, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'};0.668;0.5;0.667;1;0.8;0.389
RF;ADASYN;LogisticRegression;{'classifier__C': 2.0601895239428876, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'};0.689;0.5;0.667;1;0.8;0.451
RF;ADASYN;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'};0.653;0.5;0.667;1;0.8;0.407
RF;ADASYN;SVM;{'classifier__C': 8.737086430908736, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'};0.731;0.5;0.667;1;0.8;0.414
RF;ADASYN;XGBoost;{'classifier__colsample_bytree': 0.8067428516554398, 'classifier__learning_rate': 0.0761689877463238, 'classifier__max_depth': 3, 'classifier__n_estimators': 57, 'classifier__subsample': 0.7415297341082886};0.657;0.5;0.667;1;0.8;0.562
RF;ADASYN;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 100, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'logistic'};0.634;0.5;0.667;1;0.8;0.336
mRMR_MIQ;SMOTETomek;SVM;{'classifier__C': 9.03104704586198, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.692;0.5;0.667;1;0.8;0.469
RF;RandomOverSampler;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 92};0.704;0.5;0.667;1;0.8;0.494
mRMR_MIQ;ADASYN;KNN;{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__weights': 'distance'};0.641;0.5;0.667;1;0.8;0.429
mRMR_MIQ;SMOTETomek;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 100, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.001, 'classifier__activation': 'relu'};0.588;0.5;0.667;1;0.8;0.42
mRMR_MIQ;ADASYN;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.536;0.5;0.667;1;0.8;0.475
mRMR_RF;RandomOverSampler;XGBoost;{'classifier__colsample_bytree': 0.6559732973166619, 'classifier__learning_rate': 0.09224716324390393, 'classifier__max_depth': 3, 'classifier__n_estimators': 74, 'classifier__subsample': 0.6742132190006357};0.669;0.5;0.667;1;0.8;0.506
mRMR_RF;RandomOverSampler;SVM;{'classifier__C': 0.2010694787246603, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'};0.664;0.5;0.667;1;0.8;0.358
mRMR_RF;RandomOverSampler;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 14, 'classifier__weights': 'distance'};0.615;0.5;0.667;1;0.8;0.407
mRMR_RF;RandomOverSampler;LogisticRegression;{'classifier__C': 2.868273884771829, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.671;0.5;0.667;1;0.8;0.401
